,0,0,0,0
0,1_2,36620.5441069,4.76837158203e-07,1.22578296463e-09
1,1_4,14475.4540376,4.76837158203e-07,1.37254642678e-09
2,1_5,21595.209802,4.76837158203e-07,1.36329525266e-09
3,1_8,8378.84352571,2.38418579102e-07,1.32967056156e-09
4,1_9,6397.17667841,0.0,1.20354526645e-09
5,1_10,9904.01197572,-9.53674316406e-07,1.33907392077e-09
6,1_21,5045.36036189,-4.76837158203e-07,1.682414957e-09
7,1_22,5352.08509405,0.0,1.8687933418e-09
8,2_4,58162.5447299,0.0,3.77382808249e-10
9,2_5,100100.10361,0.0,1.11119350949e-10
10,2_8,33199.9773699,0.0,4.41801000307e-10
11,2_9,31485.8469262,9.53674316406e-07,5.74635815294e-10
12,2_10,39022.7859368,0.0,2.81477354967e-10
13,2_21,25256.9230693,9.53674316406e-07,1.7218195314e-09
14,2_22,24343.7642724,0.0,1.85270181611e-09
15,4_5,47015.3407513,4.76837158203e-07,4.1016934635e-10
16,4_8,16207.852393,4.76837158203e-07,4.85164368577e-10
17,4_9,13976.2322314,0.0,6.24887548384e-10
18,4_10,19802.4313061,0.0,4.37416841688e-10
19,4_21,9626.09463631,4.76837158203e-07,1.86883331376e-09
20,4_22,10571.5560699,0.0,1.85900854663e-09
21,5_8,22857.621162,-4.76837158203e-07,3.72817442076e-10
22,5_9,20860.0947379,-1.90734863281e-06,4.8865415435e-10
23,5_10,31974.5174025,9.53674316406e-07,2.54545161834e-10
24,5_21,12333.8903394,9.53674316406e-07,1.78835989024e-09
25,5_22,13058.0709067,4.76837158203e-07,2.04619777667e-09
26,8_9,10580.7889485,4.76837158203e-07,3.31105496761e-10
27,8_10,14474.1017141,-1.43051147461e-06,3.26027959161e-10
28,8_21,6337.13764661,-1.19209289551e-07,1.90128017733e-09
29,8_22,6733.73188629,0.0,1.59130084771e-09
30,9_10,13815.7626351,0.0,4.01812834636e-10
31,9_21,5051.1857656,-4.76837158203e-07,1.47051778401e-09
32,9_22,5332.21551033,-4.76837158203e-07,1.45877023146e-09
33,10_21,7419.43093609,0.0,1.7012285506e-09
34,10_22,7607.30118229,4.76837158203e-07,1.58986843308e-09
35,21_22,4502.91174946,0.0,1.72152832099e-09
