,0,0,0
0,1_2,0.0763882016968,0.298702514307
1,1_4,0.030096800725,0.0395928824228
2,1_5,0.0771814355745,0.294959730165
3,1_8,0.0133351227705,0.00553939992689
4,1_9,0.00996778048763,0.00339811964604
5,1_10,0.017463340247,0.0123816021524
6,1_21,0.007719981614,0.00179807419026
7,1_22,0.00807449840863,0.00246645215436
8,2_4,0.136291553874,0.683468669932
9,2_5,0.231187107622,1.5782437387
10,2_8,0.073036030907,0.273244362401
11,2_9,0.0689368051554,0.260519858501
12,2_10,0.0863668467533,0.333910918503
13,2_21,0.0512258615762,0.193370652513
14,2_22,0.0514033216155,0.198235030292
15,4_5,0.139879927674,0.658159006382
16,4_8,0.0358676993259,0.0514456771276
17,4_9,0.030858552245,0.04168613969
18,4_10,0.0443922099224,0.0749497975616
19,4_21,0.0183972861781,0.0212585577201
20,4_22,0.022423394572,0.0301836814992
21,5_8,0.0803566961884,0.304931509819
22,5_9,0.0739325761664,0.277584697862
23,5_10,0.0985440074872,0.401672381529
24,5_21,0.0477672104749,0.173441526426
25,5_22,0.0490160174265,0.183612136775
26,8_9,0.0199721157755,0.013353464293
27,8_10,0.0283830962445,0.0292250819671
28,8_21,0.00918578560224,0.00302024729304
29,8_22,0.0115403317248,0.00524120981518
30,9_10,0.0272098280216,0.0288527040914
31,9_21,0.00762660746145,0.00205226393785
32,9_22,0.00866564433173,0.00322987504021
33,10_21,0.0122609875701,0.00743988852068
34,10_22,0.0138303542059,0.00958793142848
35,21_22,0.00676295359912,0.00177903444776
